level,date,state_fips,state_postal_code,county_fips,county_name,population_staying_at_home,population_not_staying_at_home,number_of_trips,number_of_trips_<1,number_of_trips_1-3,number_of_trips_3-5,number_of_trips_5-10,number_of_trips_10-25,number_of_trips_25-50,number_of_trips_50-100,number_of_trips_100-250,number_of_trips_250-500,number_of_trips_>=500,row_id,week,month
County,2019-04-08,06,CA,06083,Santa Barbara County,97913,348586,2250850,699014,663052,276538,281123,159349,93084,60348,15245,877,2220,06-06083-20190408,14,4
County,2019-04-09,06,CA,06083,Santa Barbara County,96724,349775,2183180,660195,665087,261214,274016,152497,96615,57017,13537,912,2090,06-06083-20190409,14,4
County,2019-04-10,06,CA,06083,Santa Barbara County,97791,348708,2369266,727979,738024,297441,290373,157522,89818,53927,11597,492,2093,06-06083-20190410,14,4
County,2019-04-11,06,CA,06083,Santa Barbara County,99670,346829,2395118,736842,728359,299286,291503,171094,94490,59355,10586,532,3071,06-06083-20190411,14,4
County,2019-04-12,06,CA,06083,Santa Barbara County,94832,351667,2264775,653752,705185,289511,289596,163998,92495,54663,11974,614,2987,06-06083-20190412,14,4
County,2019-04-13,06,CA,06083,Santa Barbara County,100610,345889,2301205,707785,706410,288204,274703,160393,92898,55851,11321,571,3069,06-06083-20190413,14,4
County,2019-04-14,06,CA,06083,Santa Barbara County,104607,341892,2063367,634150,641609,243599,219019,140197,105825,58367,16297,723,3581,06-06083-20190414,15,4
County,2019-04-15,06,CA,06083,Santa Barbara County,98640,347859,2185362,663502,679298,265642,260660,150580,90159,57651,13039,839,3992,06-06083-20190415,15,4
County,2019-04-16,06,CA,06083,Santa Barbara County,97683,348816,2217930,694205,655933,281210,276493,150205,78749,65054,11604,686,3791,06-06083-20190416,15,4
County,2019-04-17,06,CA,06083,Santa Barbara County,98755,347744,2436577,755342,737359,305886,306890,162806,92374,62312,9531,659,3418,06-06083-20190417,15,4
County,2019-04-18,06,CA,06083,Santa Barbara County,98112,348387,2432699,747282,728510,302082,310010,179754,91077,59982,10047,627,3328,06-06083-20190418,15,4
County,2019-04-19,06,CA,06083,Santa Barbara County,95268,351231,2391723,703823,713514,299117,311876,179033,96889,70872,13001,502,3096,06-06083-20190419,15,4
County,2019-04-20,06,CA,06083,Santa Barbara County,102072,344427,2194761,657975,666549,279570,260077,166397,92110,55325,12908,636,3214,06-06083-20190420,15,4
County,2019-04-21,06,CA,06083,Santa Barbara County,109818,336681,1987970,604188,633783,235416,230745,134639,75987,53446,16811,867,2088,06-06083-20190421,16,4
County,2019-04-22,06,CA,06083,Santa Barbara County,96230,350269,2121337,629809,644318,257835,251862,176060,92591,49686,16584,1311,1281,06-06083-20190422,16,4
County,2019-04-23,06,CA,06083,Santa Barbara County,90839,355660,2055572,601687,592227,261623,250009,191557,105374,38496,12105,1400,1094,06-06083-20190423,16,4
County,2019-04-24,06,CA,06083,Santa Barbara County,94187,352312,2204347,657342,675460,264279,267397,183924,101235,41081,11526,1097,1006,06-06083-20190424,16,4
County,2019-04-25,06,CA,06083,Santa Barbara County,91185,355314,2219522,653858,672903,270770,272431,199223,98544,39721,10156,1042,874,06-06083-20190425,16,4
County,2019-04-26,06,CA,06083,Santa Barbara County,89175,357324,2181163,617187,659768,280338,269581,193553,102956,42575,13094,1261,850,06-06083-20190426,16,4
County,2019-04-27,06,CA,06083,Santa Barbara County,93026,353473,2080622,609957,618695,253341,246473,185926,109373,43195,11437,1256,969,06-06083-20190427,16,4
County,2019-04-28,06,CA,06083,Santa Barbara County,95348,351151,1796150,535561,540309,219065,192967,151715,98550,39961,15454,1467,1101,06-06083-20190428,17,4
County,2019-04-29,06,CA,06083,Santa Barbara County,88867,357632,1998568,567954,597879,248669,248438,179608,98888,39893,14360,1585,1294,06-06083-20190429,17,4
County,2019-04-30,06,CA,06083,Santa Barbara County,86388,360111,2034796,566987,610067,262565,252344,186795,101253,39707,12503,1506,1069,06-06083-20190430,17,4
County,2019-05-01,06,CA,06083,Santa Barbara County,89674,356825,2155954,639818,646430,265881,265693,185887,97331,40213,12445,1163,1093,06-06083-20190501,17,5
County,2019-05-02,06,CA,06083,Santa Barbara County,97206,349293,2267324,667288,690165,280091,293478,183811,94147,44953,11302,941,1148,06-06083-20190502,17,5
County,2019-05-03,06,CA,06083,Santa Barbara County,98281,348218,2199233,633801,693504,268989,272860,170727,93521,49709,13895,942,1285,06-06083-20190503,17,5
County,2019-05-04,06,CA,06083,Santa Barbara County,101484,345015,2146638,628855,674263,267008,258811,165117,86728,49567,14235,933,1121,06-06083-20190504,17,5
County,2019-05-05,06,CA,06083,Santa Barbara County,101534,344965,1846854,535506,566120,224175,217595,145484,85720,51221,18717,1034,1282,06-06083-20190505,18,5
County,2019-05-06,06,CA,06083,Santa Barbara County,98615,347884,2040889,603035,646521,251195,257214,152070,78489,38924,10416,769,2256,06-06083-20190506,18,5
County,2019-05-07,06,CA,06083,Santa Barbara County,97394,349105,2127825,637630,664769,269666,262998,156889,83265,39377,9810,850,2571,06-06083-20190507,18,5
County,2019-05-08,06,CA,06083,Santa Barbara County,99102,347397,2149835,643798,654086,277131,275315,164363,80797,41591,9700,670,2384,06-06083-20190508,18,5
County,2019-05-09,06,CA,06083,Santa Barbara County,96137,350362,2167416,650663,644604,276607,283954,167472,86938,44139,9957,723,2359,06-06083-20190509,18,5
County,2019-05-10,06,CA,06083,Santa Barbara County,92745,353754,2172124,604361,683401,278273,286334,167749,89858,47801,11183,800,2364,06-06083-20190510,18,5
County,2019-05-11,06,CA,06083,Santa Barbara County,95928,350571,2172095,644147,679604,277615,250613,167473,86673,51320,11764,853,2033,06-06083-20190511,18,5
County,2019-05-12,06,CA,06083,Santa Barbara County,99940,346559,1830979,513283,571852,237055,213856,143365,84495,49553,14493,925,2102,06-06083-20190512,19,5
County,2019-05-13,06,CA,06083,Santa Barbara County,98155,348344,2021193,590687,620203,259546,256375,154099,82789,43741,10626,953,2174,06-06083-20190513,19,5
County,2019-05-14,06,CA,06083,Santa Barbara County,96276,350223,2008854,577169,617770,259257,261541,154722,83258,42948,9514,741,1934,06-06083-20190514,19,5
County,2019-05-15,06,CA,06083,Santa Barbara County,96302,350197,2052409,588226,656108,260340,263054,148725,78262,43915,10263,938,2578,06-06083-20190515,19,5
County,2019-05-16,06,CA,06083,Santa Barbara County,95071,351428,2039934,596656,632322,263237,258575,147332,82187,45489,10861,882,2393,06-06083-20190516,19,5
County,2019-05-17,06,CA,06083,Santa Barbara County,93483,353016,2203116,653719,665655,291461,275094,166020,91079,43876,12789,830,2593,06-06083-20190517,19,5
County,2019-05-18,06,CA,06083,Santa Barbara County,98282,348217,2075810,616646,637505,263041,244928,162844,88107,47178,12630,874,2057,06-06083-20190518,19,5
County,2019-05-19,06,CA,06083,Santa Barbara County,103460,343039,1783193,524537,584185,215718,190032,129119,75147,45680,14881,882,3012,06-06083-20190519,20,5
County,2019-05-20,06,CA,06083,Santa Barbara County,99330,347169,2092323,629762,657763,264528,267269,143886,76467,39134,10599,686,2229,06-06083-20190520,20,5
County,2019-05-21,06,CA,06083,Santa Barbara County,100115,346384,2178550,655222,683277,280629,268107,156108,81516,41936,8958,799,1998,06-06083-20190521,20,5
County,2019-05-22,06,CA,06083,Santa Barbara County,98549,347950,2183476,647393,685544,275381,279914,164544,77130,40607,10054,705,2204,06-06083-20190522,20,5
County,2019-05-23,06,CA,06083,Santa Barbara County,96185,350314,2082383,616412,650543,255358,274058,153316,76273,42543,10584,997,2299,06-06083-20190523,20,5
County,2019-05-24,06,CA,06083,Santa Barbara County,95221,351278,2274795,684609,705670,280298,289980,168346,84905,44488,13138,816,2545,06-06083-20190524,20,5
County,2019-05-25,06,CA,06083,Santa Barbara County,98553,347946,2207805,672295,678040,269667,278565,156543,88439,48054,13047,694,2461,06-06083-20190525,20,5
County,2019-05-26,06,CA,06083,Santa Barbara County,102210,344289,1998709,620758,644707,246171,203938,145817,77975,42516,13627,691,2509,06-06083-20190526,21,5
County,2019-05-27,06,CA,06083,Santa Barbara County,98701,347798,1996579,573335,633745,249612,252329,144112,82883,45730,12006,861,1966,06-06083-20190527,21,5
County,2019-05-28,06,CA,06083,Santa Barbara County,96454,350045,2342141,704406,734621,288862,297112,168062,85801,49617,10698,745,2217,06-06083-20190528,21,5
County,2019-05-29,06,CA,06083,Santa Barbara County,92957,353542,2415705,738361,729317,315825,313163,175319,87059,43561,10017,663,2420,06-06083-20190529,21,5
County,2019-05-30,06,CA,06083,Santa Barbara County,92669,353830,2343731,724810,706842,300694,297152,167448,85774,46238,11105,620,3048,06-06083-20190530,21,5
County,2019-05-31,06,CA,06083,Santa Barbara County,92876,353623,2409922,719056,754626,315888,296604,174213,87633,46209,11854,699,3140,06-06083-20190531,21,5
County,2019-06-01,06,CA,06083,Santa Barbara County,97218,349281,2261483,692986,688165,281505,284624,165864,83255,49042,12679,802,2561,06-06083-20190601,21,6
County,2019-06-02,06,CA,06083,Santa Barbara County,100434,346065,2012961,610459,638577,244257,225536,141232,85471,49557,14704,826,2342,06-06083-20190602,22,6
